Succinic acid,Spermine,Spermidine,N-Formyl-L-Methionine,Indole-3-acetic acid,N-Acetyl-D-glucosamine,Malonic acid,L-Aspartic acid,L-Asparagine,Isonicotinic acid,Glutaric acid,Fumaric acid,L-Serine,Amantadine,Allantoin,Sinapic acid,Adenosine,Adenine,L-Iditol,beta-Alanine,Melibiose,L-Valine,L-Norleucine,L-Lysine,L-Isoleucine,L-Glutamine,L-Glutamic acid,Maltotriose,Acetophenone,Testosterone,METHYL PROPIONATE,Methyl hexanoate,Fenchol,(+)-Borneol,cis-Citral,Diethyl fumarate,trans-Cinnamyl alcohol,DIETHYL MALEATE,Anthracene,Pyrene
0.06459045,-0.19680014,-0.18237402,0.34233573,0.1285471,0.02020913,0.10401708,0.29335615,0.19129618,-0.05433299,0.04500049,0.08114488,0.042952206,0.25753143,-0.042133994,0.08062292,-0.020214003,0.4635894,-0.104985714,-0.016805155,-0.0073130215,0.115507275,0.19763939,-0.008052304,0.16013332,0.17159846,0.28194526,-0.0047185654,-0.20876792,-0.028562058,0.053242084,0.045633942,-0.12889212,0.08285424,-0.32886335,0.41323102,-0.1040802,0.41323102,0.51467663,0.44488803
0.03548001,0.008627938,0.0022765214,0.0024508676,0.0011845854,0.0551846,0.060535986,0.008572396,0.005386874,0.004942823,0.02886849,0.018184423,0.0039268257,0.0008276419,0.003433097,0.011255019,0.099331506,0.0014771273,0.013779069,0.005518757,0.38304302,0.0051758033,0.0045490083,0.012389593,0.004795082,0.005033935,0.008039728,0.5884401,-0.00013553056,0.06379083,0.00076453487,0.0019115793,0.011470123,0.025675312,0.0015546047,0.0013600476,0.00014848556,0.0013600476,-0.001243684,-0.004034651
-0.25173154,0.44721046,0.43520358,-0.22143167,-0.122967705,0.0009060887,-0.2609414,0.13843484,-0.17806612,-0.24107286,-0.22008842,-0.21262807,-0.11387124,-0.26134548,-0.2970071,-0.06615389,0.1823914,-0.07633356,0.41088712,-0.11294408,0.39114463,-0.3551766,-0.1188528,0.07774666,-0.41001296,-0.120398015,0.1647405,0.4638137,-0.012840794,-0.061394658,0.034501094,0.023809023,-0.18763633,-0.2211297,-0.07680689,0.15106112,-0.07723212,0.15106112,0.19801398,0.06416188
0.044982646,0.43900076,0.45269462,0.38952944,0.716042,0.21381086,0.027382677,0.5004293,0.44727674,0.12734012,0.049520157,0.065989815,0.5540582,0.4260841,0.5951872,0.14148955,0.42021605,0.45608336,0.5337557,0.57502025,0.37660244,0.089679845,-0.10605585,0.44251493,-0.035340223,0.38613206,0.4576317,0.47388646,0.033316016,-0.36346063,-0.19912218,-0.28856215,-0.27934277,-0.27039078,-0.11027311,-0.19098806,0.1926615,-0.19098806,0.4723593,0.42826182
-0.010590606,-0.02255253,-0.019926084,-0.048635066,-0.086097,-0.24381378,-0.017281098,-0.0641196,-0.03914188,-0.015788762,-0.0071937605,-0.005356304,-0.047236342,-0.11046539,-0.13184355,-0.035374235,-0.1494882,-0.25025028,-0.18100804,-0.032051977,-0.16536507,-0.016978893,-0.021915074,-0.037479702,-0.014846057,-0.03963415,-0.06929376,-0.08241172,-0.043475516,-0.45758715,-0.060604434,-0.05779862,-0.06770833,-0.08217304,-0.09149674,-0.20126727,-0.012332905,-0.20126727,-0.043045454,-0.019332897
0.6006977,0.3060897,0.28126198,0.2042323,0.4936912,0.15454446,0.6697385,0.45590195,0.5068611,0.35570252,0.56152636,0.4975179,0.27804148,0.0749935,0.5778208,0.14041951,0.040263947,0.13510613,0.58528376,0.2726368,0.33433557,0.08524701,0.18896164,0.43291375,0.11238987,0.5089667,0.48467812,0.30546355,0.118126735,0.0028293114,0.23926477,0.28780898,0.0112169925,0.0068835397,0.076372,0.3725778,0.21279544,0.3725778,0.09337073,0.02969107
-0.1974723,-0.65175575,-0.60286313,-0.39265755,-0.49379712,-0.11384866,-0.19573139,-0.5217486,-0.53975964,0.1635749,-0.09618975,-0.21719648,-0.38102072,0.08765824,-0.30779672,-0.25285333,-0.18624906,-0.2416823,-0.59549475,-0.35984123,-0.3204331,-0.32920623,-0.54443717,-0.6084012,-0.5134241,-0.5035693,-0.474601,-0.28815004,-0.08089733,-0.61444056,-0.12255014,-0.07246384,0.06620378,-0.032277383,-0.06415182,-0.21687742,-0.17532365,-0.21687742,0.10799196,0.15801567
-0.00081676,-0.18314935,-0.19094282,-0.124627165,-0.069920324,-0.16578212,-0.0007708976,-0.0652014,-0.045824334,-0.016831627,-0.0052773324,-0.00022828249,-0.104583405,-0.12440102,-0.020240627,-0.16538846,-0.017651986,-0.0110930195,-0.070615925,-0.07049343,-0.1255394,-0.09864783,-0.2027907,-0.12576492,-0.1668198,-0.058990095,-0.07850257,-0.1444963,-0.55881387,-0.35407993,-0.2703947,-0.40622544,-0.13968281,-0.10693708,-0.21223284,-0.20193183,-0.34320113,-0.20193183,-0.07952381,-0.009640345
-0.026356222,-0.0077216187,-0.013652133,-0.0123415645,-0.06551157,0.0038079335,-0.022380743,-0.014520216,-0.004437532,-0.054721355,-0.030462153,-0.028645167,-0.007748761,-0.37963092,-0.0019332676,-0.010382813,0.0022166602,-0.0075738714,0.0046345633,-0.020290023,0.007996285,-0.01574298,-0.017735844,-0.0058538807,-0.009790803,-0.007901748,-0.019462,0.004301334,-0.22344162,0.61013,-0.2728449,-0.19861019,-0.0789907,0.06880968,-0.21085827,-0.32027,-0.10509339,-0.32027,-0.15723968,-0.08503223
0.06580486,-0.89304805,-0.8910679,-0.80743974,-0.114243016,-0.23767143,-0.048817076,-0.22382388,-0.73010284,0.06561295,0.03394806,0.13830492,-0.72044677,-0.16998638,0.25585493,-0.066723764,-0.7898272,-0.031075181,0.067114316,-0.4740915,0.16580698,-0.73170584,-0.27749702,-0.72458935,-0.7209786,-0.6878356,-0.1194303,-0.023020295,-0.21328273,-0.14033592,-0.18997905,0.034665536,-0.06689151,-0.4476093,-0.2958168,0.25706416,-0.10969104,0.25706416,-0.6376966,-0.6422047
