Succinic Acid,Spermidine,Gamma-Amino-N-Butyric Acid,Malonic Acid,L-Aspartic Acid,L-Asparagine,Glycylglycine,Glutaric Acid,Fumaric Acid,L-Serine,Ethanolamine,Allantoin,"1,4-Butanediamine",4-Hydroxyphenylpyruvic Acid,Beta-Alanine,L-Valine,L-Ornithine,L-Norleucine,L-Lysine,L-Glutamine,L-Alanine,L-Tyrosine,Tryptophan,L-Leucine,Glycine,Glycerol,Caffeine,"1,3-Diaminopropane",Phenanthrene,Lauric Acid,Benzoic Acid,Anthracene,"(5R,11R)-5,11-Dimethylpentacosane",Pyrene,Fluorene,Biphenyl,Naphthalene,Pentadecane,Undecane,Hexachlorobenzene,Benzyl Benzoate,1-Hexanol,Methyl Benzoate,Methyl Octadecanoate,1-Octanol,Isopentyl Acetate,Methyl Hexanoate,2-Octanol,Benzyl Alcohol,Testosterone
0.06459045,-0.18237402,0.0129444655,0.10401708,0.27102923,0.19129618,0.46919748,0.04500049,0.08114488,0.042952206,-0.38718507,-0.042133994,-0.2160624,0.14924082,-0.016805155,0.115507275,-0.021581404,0.19763939,-0.008052304,0.17159846,0.12141159,0.30910927,0.09461943,0.05294035,0.012962267,-0.2943299,0.108720824,-0.22047041,0.5799433,0.073708,-0.07051655,0.51467663,-0.012565154,0.44488803,0.4995694,0.23464279,0.46837255,0.11744447,0.11013371,0.36727402,0.093463115,-0.23159555,0.049135864,0.16963917,-0.2599745,0.1032256,0.045633942,-0.24330102,-0.36651006,-0.028562058
0.03548001,0.0022765214,0.008486014,0.060535986,0.0076003126,0.005386874,0.0021043478,0.02886849,0.018184423,0.0039268257,5.368445e-05,0.003433097,-0.00053675665,0.0032278558,0.005518757,0.0051758033,0.008042538,0.0045490083,0.012389593,0.005033935,0.0050753057,0.0071942476,0.0015321826,0.003990919,0.0038975563,0.0021060784,0.0014141578,-0.0011409457,-0.0017105223,0.0037722434,0.00256945,-0.001243684,0.0014499156,-0.004034651,-0.0039352677,-7.799441e-05,-0.00068962254,0.0014576056,0.0009517768,-0.0013177327,0.0002347457,0.0011291006,0.0005742836,0.005853703,0.0021173193,0.001558999,0.0019115793,0.0046968237,-0.00015790797,0.06379083
-0.25173154,0.43520358,-0.0034805401,-0.2609414,0.02805368,-0.17806612,-0.07737644,-0.22008842,-0.21262807,-0.11387124,-0.06725807,-0.2970071,0.24551311,0.10658007,-0.11294408,-0.3551766,-0.12176848,-0.1188528,0.07774666,-0.120398015,-0.33105394,-0.5022023,0.048508428,-0.39960343,-0.17982252,0.1757248,-0.5588153,0.06556186,0.064322665,0.022942305,-0.10288856,0.19801398,-0.24691467,0.06416188,0.20617557,-0.16320714,0.25724295,-0.040019583,-0.037645433,0.34388676,0.01335037,0.21070407,-0.029098213,-0.12364551,0.109338194,-0.03737794,0.023809023,-0.10838235,0.20798601,-0.061394658
0.044982646,0.45269462,0.42648035,0.027382677,0.5849552,0.44727674,0.8376349,0.049520157,0.065989815,0.5540582,0.7788632,0.5951872,0.29328907,0.4843327,0.57502025,0.089679845,0.63118947,-0.10605585,0.44251493,0.38613206,0.0789989,0.5687289,-0.22824202,0.17254832,0.61858636,0.47443137,-0.30031243,0.19360358,0.42103726,-0.25291735,0.13173965,0.4723593,-0.35486206,0.42826182,0.40869886,0.16809024,0.33150846,-0.4410781,-0.43272376,0.3817082,0.649366,-0.17897338,0.3873164,-0.35568744,-0.29375827,-0.1095876,-0.28856215,-0.4017115,0.5650138,-0.36346063
-0.010590606,-0.019926084,-0.037688468,-0.017281098,-0.05319876,-0.03914188,-0.026874952,-0.0071937605,-0.005356304,-0.047236342,-0.02502221,-0.13184355,-0.023581902,-0.2108991,-0.032051977,-0.016978893,-0.03218011,-0.021915074,-0.037479702,-0.03963415,-0.0109968595,-0.029699668,-0.06957912,-0.020822957,-0.028875636,-0.046475314,-0.23449636,-0.015360991,-0.034100484,-0.03057509,-0.018277537,-0.043045454,-0.021450536,-0.019332897,-0.009847783,-0.0063786395,-0.050989587,-0.022546,-0.025409741,-0.02827986,-0.19802426,-0.05128376,-0.031114312,-0.038609713,-0.051175904,-0.1360665,-0.05779862,-0.04544028,-0.020714065,-0.45758715
0.6006977,0.28126198,0.38562378,0.6697385,0.41012618,0.5068611,0.5587992,0.56152636,0.4975179,0.27804148,0.2818684,0.5778208,0.27578595,0.43163854,0.2726368,0.08524701,0.3224764,0.18896164,0.43291375,0.5089667,0.11327199,0.11569473,0.22315314,0.0972626,0.25314626,0.53757274,0.0033105114,0.19885805,0.08792428,0.3178169,0.30533278,0.09337073,0.075384185,0.02969107,0.0052176425,0.14716524,0.17128082,0.12406562,0.11458501,0.031220028,0.30848834,0.23451306,0.13006599,0.24275976,0.1671058,0.153518,0.28780898,0.054651633,0.17210737,0.0028293114
-0.1974723,-0.60286313,-0.46243447,-0.19573139,-0.42033544,-0.53975964,-0.10026637,-0.09618975,-0.21719648,-0.38102072,-0.446169,-0.30779672,-0.523507,0.008071847,-0.35984123,-0.32920623,-0.5161299,-0.54443717,-0.6084012,-0.5035693,-0.29188114,-0.09253755,-0.16053426,-0.42196304,-0.3492946,-0.2870269,0.025439749,-0.43513623,0.13394955,-0.2683178,-0.040223982,0.10799196,-0.093398735,0.15801567,0.2855579,0.017746385,-0.005021757,-0.18259332,-0.19909477,-0.05437267,0.3808501,-0.47658706,0.091222025,0.027225766,-0.49674854,-0.020153118,-0.07246384,-0.40842575,-0.25086522,-0.61444056
-0.00081676,-0.19094282,-0.10828769,-0.0007708976,-0.057019472,-0.045824334,-0.025107985,-0.0052773324,-0.00022828249,-0.104583405,-0.20723757,-0.020240627,-0.10724339,-0.21973431,-0.07049343,-0.09864783,-0.0687477,-0.2027907,-0.12576492,-0.058990095,-0.10683392,-0.23389107,-0.37715814,-0.06984099,-0.07323712,-0.06310279,-0.46526212,-0.092359506,-0.10707241,-0.21458799,-0.07697188,-0.07952381,-0.08474702,-0.009640345,-0.1070655,-0.11460132,-0.071714856,-0.14033286,-0.13720028,-0.2539162,-0.4183597,-0.24581821,-0.5716145,-0.3631518,-0.25774592,-0.16176437,-0.40622544,-0.15714888,-0.41410032,-0.35407993
-0.026356222,-0.013652133,-0.023634376,-0.022380743,-0.021641094,-0.004437532,-0.010083593,-0.030462153,-0.028645167,-0.007748761,-0.028253047,-0.0019332676,-0.015516009,-0.035081945,-0.020290023,-0.01574298,-0.0043035373,-0.017735844,-0.0058538807,-0.007901748,-0.02599241,-0.003884007,-0.2323241,-0.007587282,-0.024063028,-0.052273154,-0.0047252146,-0.013705572,-0.14321357,-0.05827687,-0.07851044,-0.15723968,-0.32803518,-0.08503223,-0.07072773,-0.21238863,-0.1559445,-0.12581225,-0.14036314,-0.28702134,-0.41677913,-0.13960499,-0.13726762,-0.13103542,-0.12733205,-0.2052951,-0.19861019,-0.11297905,-0.17924702,0.61013
0.06580486,-0.8910679,-0.41182318,-0.048817076,-0.26892543,-0.73010284,-0.7897252,0.03394806,0.13830492,-0.72044677,-0.57886183,0.25585493,-0.6402039,0.23148303,-0.4740915,-0.73170584,-0.7336086,-0.27749702,-0.72458935,-0.6878356,-0.60968053,-0.39243853,-0.15948442,-0.7092869,-0.45463613,-0.06977255,0.53843576,-0.4149534,-0.63433856,0.25193256,-0.09645427,-0.6376966,-0.30856985,-0.6422047,-0.66629976,-0.5667713,-0.6580643,0.09696417,0.030030172,-0.7727897,-0.113602184,-0.10175126,-0.35274303,0.2362863,0.06513412,-0.12205129,0.034665536,0.06824502,-0.4537969,-0.14033592
