Using device: cuda
Epoch[10/1000], train loss: 18.508518
Epoch[20/1000], train loss: 18.307003
Epoch[30/1000], train loss: 18.119978
Epoch[40/1000], train loss: 18.226898
Epoch[50/1000], train loss: 18.032455
Epoch[60/1000], train loss: 18.072025
Epoch[70/1000], train loss: 17.840281
Epoch[80/1000], train loss: 17.499918
Epoch[90/1000], train loss: 17.188187
Epoch[100/1000], train loss: 17.141659
Epoch[110/1000], train loss: 16.857059
Epoch[120/1000], train loss: 16.738184
Epoch[130/1000], train loss: 16.66246
Epoch[140/1000], train loss: 16.489603
Epoch[150/1000], train loss: 16.303383
Epoch[160/1000], train loss: 16.148502
Epoch[170/1000], train loss: 15.918455
Epoch[180/1000], train loss: 15.77761
Epoch[190/1000], train loss: 15.691844
Epoch[200/1000], train loss: 15.616581
Epoch[210/1000], train loss: 15.3822
Epoch[220/1000], train loss: 15.170685
Epoch[230/1000], train loss: 14.934794
Epoch[240/1000], train loss: 14.725245
Epoch[250/1000], train loss: 14.60585
Epoch[260/1000], train loss: 14.478329
Epoch[270/1000], train loss: 14.371181
Epoch[280/1000], train loss: 14.233193
Epoch[290/1000], train loss: 14.198855
Epoch[300/1000], train loss: 14.114855
Epoch[310/1000], train loss: 14.027192
Epoch[320/1000], train loss: 13.892168
Epoch[330/1000], train loss: 13.89556
Epoch[340/1000], train loss: 13.802666
Epoch[350/1000], train loss: 13.846454
Epoch[360/1000], train loss: 13.756207
Epoch[370/1000], train loss: 13.717128
Epoch[380/1000], train loss: 13.671604
Epoch[390/1000], train loss: 13.604387
Epoch[400/1000], train loss: 13.553896
Epoch[410/1000], train loss: 13.486378
Epoch[420/1000], train loss: 13.430449
Epoch[430/1000], train loss: 13.455927
Epoch[440/1000], train loss: 13.347117
Epoch[450/1000], train loss: 13.376062
Epoch[460/1000], train loss: 13.328465
Epoch[470/1000], train loss: 13.30828
Epoch[480/1000], train loss: 13.26515
Epoch[490/1000], train loss: 13.159557
Epoch[500/1000], train loss: 13.17426
Epoch[510/1000], train loss: 13.255411
Epoch[520/1000], train loss: 13.097107
Epoch[530/1000], train loss: 13.060537
Epoch[540/1000], train loss: 13.033132
Epoch[550/1000], train loss: 13.012941
Epoch[560/1000], train loss: 12.989489
Epoch[570/1000], train loss: 12.999741
Epoch[580/1000], train loss: 12.973374
Epoch[590/1000], train loss: 12.973574
Epoch[600/1000], train loss: 12.904837
Epoch[610/1000], train loss: 12.882784
Epoch[620/1000], train loss: 12.949184
Epoch[630/1000], train loss: 12.924835
Epoch[640/1000], train loss: 12.925641
Epoch[650/1000], train loss: 13.296583
Epoch[660/1000], train loss: 12.858234
Epoch[670/1000], train loss: 12.855413
Epoch[680/1000], train loss: 12.860618
Epoch[690/1000], train loss: 12.762557
Epoch[700/1000], train loss: 12.723392
Epoch[710/1000], train loss: 12.802896
Epoch[720/1000], train loss: 12.736211
Epoch[730/1000], train loss: 12.819369
Epoch[740/1000], train loss: 12.681609
Epoch[750/1000], train loss: 12.711552
Epoch[760/1000], train loss: 12.699624
Epoch[770/1000], train loss: 12.667668
Epoch[780/1000], train loss: 12.645863
Epoch[790/1000], train loss: 12.604166
Epoch[800/1000], train loss: 12.555498
Epoch[810/1000], train loss: 12.583851
Epoch[820/1000], train loss: 12.584815
Epoch[830/1000], train loss: 12.602837
Epoch[840/1000], train loss: 12.535873
Epoch[850/1000], train loss: 12.475117
Epoch[860/1000], train loss: 12.507381
Epoch[870/1000], train loss: 12.480083
Epoch[880/1000], train loss: 12.459103
Epoch[890/1000], train loss: 12.389015
Epoch[900/1000], train loss: 12.387192
Epoch[910/1000], train loss: 12.37801
Epoch[920/1000], train loss: 12.34427
Epoch[930/1000], train loss: 12.348105
Epoch[940/1000], train loss: 12.311999
Epoch[950/1000], train loss: 12.304463
Epoch[960/1000], train loss: 12.295849
Epoch[970/1000], train loss: 12.355829
Epoch[980/1000], train loss: 12.268708
Epoch[990/1000], train loss: 12.183804
Epoch[1000/1000], train loss: 12.240478
