
Using device: cuda
Epoch[10/1000], train loss: 18.046288
Epoch[20/1000], train loss: 18.071058
Epoch[30/1000], train loss: 18.116766
Epoch[40/1000], train loss: 18.065485
Epoch[50/1000], train loss: 18.000124
Epoch[60/1000], train loss: 18.038738
Epoch[70/1000], train loss: 18.049036
Epoch[80/1000], train loss: 18.092821
Epoch[90/1000], train loss: 18.032789
Epoch[100/1000], train loss: 18.156761
Epoch[110/1000], train loss: 18.04661
Epoch[120/1000], train loss: 18.091103
Epoch[130/1000], train loss: 18.041862
Epoch[140/1000], train loss: 18.038614
Epoch[150/1000], train loss: 17.965061
Epoch[160/1000], train loss: 18.038551
Epoch[170/1000], train loss: 18.115435
Epoch[180/1000], train loss: 18.0476
Epoch[190/1000], train loss: 18.035515
Epoch[200/1000], train loss: 18.016085
Epoch[210/1000], train loss: 18.018169
Epoch[220/1000], train loss: 17.974354
Epoch[230/1000], train loss: 18.049917
Epoch[240/1000], train loss: 18.047422
Epoch[250/1000], train loss: 18.071186
Epoch[260/1000], train loss: 18.023354
Epoch[270/1000], train loss: 18.015188
Epoch[280/1000], train loss: 17.99427
Epoch[290/1000], train loss: 18.063852
Epoch[300/1000], train loss: 18.019588
Epoch[310/1000], train loss: 18.072762
Epoch[320/1000], train loss: nan
Epoch[330/1000], train loss: nan
Epoch[340/1000], train loss: nan
Epoch[350/1000], train loss: nan
Epoch[360/1000], train loss: nan
Epoch[370/1000], train loss: nan
