
Using device: cuda
Epoch[10/1000], train loss: 18.075638
Epoch[20/1000], train loss: 18.015594
Epoch[30/1000], train loss: 18.042545
Epoch[40/1000], train loss: 18.074596
Epoch[50/1000], train loss: 18.081713
Epoch[60/1000], train loss: 18.110579
Epoch[70/1000], train loss: 18.1315
Epoch[80/1000], train loss: 18.065777
Epoch[90/1000], train loss: 18.093927
Epoch[100/1000], train loss: 18.013496
Epoch[110/1000], train loss: 18.019424
Epoch[120/1000], train loss: 17.989969
Epoch[130/1000], train loss: 18.035942
Epoch[140/1000], train loss: 18.043444
Epoch[150/1000], train loss: 18.10074
Epoch[160/1000], train loss: 18.095116
Epoch[170/1000], train loss: 18.124794
Epoch[180/1000], train loss: 18.090065
Epoch[190/1000], train loss: 18.034212
Epoch[200/1000], train loss: 18.065556
Epoch[210/1000], train loss: 18.015585
Epoch[220/1000], train loss: 18.046898
Epoch[230/1000], train loss: 18.049164
Epoch[240/1000], train loss: 18.006657
Epoch[250/1000], train loss: 18.035635
Epoch[260/1000], train loss: 18.067871
Epoch[270/1000], train loss: 18.013092
Epoch[280/1000], train loss: 18.040972
Epoch[290/1000], train loss: 18.085377
Epoch[300/1000], train loss: 18.053993
Epoch[310/1000], train loss: 18.050682
Epoch[320/1000], train loss: 17.999172
Epoch[330/1000], train loss: 18.018505
Epoch[340/1000], train loss: 18.037838
Epoch[350/1000], train loss: 18.0396
Epoch[360/1000], train loss: 18.081837
Epoch[370/1000], train loss: 18.015171
Epoch[380/1000], train loss: 18.083656
Epoch[390/1000], train loss: 18.065823
Epoch[400/1000], train loss: 18.008547
Epoch[410/1000], train loss: 18.080034
Epoch[420/1000], train loss: 221.845505
Epoch[430/1000], train loss: nan
Epoch[440/1000], train loss: nan
Epoch[450/1000], train loss: nan
