
Using device: cuda
Epoch[10/1000], train loss: 17.947313
Epoch[20/1000], train loss: 15.380622
Epoch[30/1000], train loss: 14.359468
Epoch[40/1000], train loss: 214.103302
Epoch[50/1000], train loss: 18.210876
Epoch[60/1000], train loss: 18.421574
Epoch[70/1000], train loss: 17.60462
Epoch[80/1000], train loss: 17.339661
Epoch[90/1000], train loss: 17.129515
Epoch[100/1000], train loss: 16.160948
Epoch[110/1000], train loss: 15.475237
Epoch[120/1000], train loss: 15.533524
Epoch[130/1000], train loss: 15.764031
Epoch[140/1000], train loss: 13.959064
Epoch[150/1000], train loss: 14.327938
Epoch[160/1000], train loss: 13.961045
Epoch[170/1000], train loss: 13.350533
Epoch[180/1000], train loss: 13.275841
Epoch[190/1000], train loss: 13.655743
Epoch[200/1000], train loss: 12.861212
Epoch[210/1000], train loss: 12.679644
Epoch[220/1000], train loss: 12.486412
Epoch[230/1000], train loss: 12.934795
Epoch[240/1000], train loss: 12.053797
Epoch[250/1000], train loss: 14.211721
Epoch[260/1000], train loss: 12.047792
Epoch[270/1000], train loss: 12.015501
Epoch[280/1000], train loss: 11.723459
Epoch[290/1000], train loss: 11.651937
Epoch[300/1000], train loss: 11.741163
Epoch[310/1000], train loss: 11.433035
Epoch[320/1000], train loss: 11.764934
Epoch[330/1000], train loss: 11.310007
Epoch[340/1000], train loss: 11.523022
Epoch[350/1000], train loss: 12.626759
Epoch[360/1000], train loss: 18.776381
Epoch[370/1000], train loss: 14.987599
Epoch[380/1000], train loss: 13.193367
Epoch[390/1000], train loss: 14.043149
Epoch[400/1000], train loss: 12.360555
Epoch[410/1000], train loss: 18.043678
Epoch[420/1000], train loss: 15.275905
Epoch[430/1000], train loss: 13.733658
Epoch[440/1000], train loss: 13.239311
Epoch[450/1000], train loss: 12.478609
Epoch[460/1000], train loss: 13.113752
Epoch[470/1000], train loss: 12.019944
Epoch[480/1000], train loss: 11.876534
Epoch[490/1000], train loss: 11.45225
Epoch[500/1000], train loss: 11.486558
Epoch[510/1000], train loss: 11.176093
Epoch[520/1000], train loss: 11.376866
Epoch[530/1000], train loss: 10.942972
Epoch[540/1000], train loss: 10.902303
Epoch[550/1000], train loss: 10.870068
Epoch[560/1000], train loss: 10.572495
Epoch[570/1000], train loss: 11.558208
Epoch[580/1000], train loss: 10.518856
Epoch[590/1000], train loss: 10.794965
Epoch[600/1000], train loss: 10.703983
Epoch[610/1000], train loss: 11.665204
Epoch[620/1000], train loss: 10.853749
Epoch[630/1000], train loss: 10.636285
Epoch[640/1000], train loss: 11.486111
Epoch[650/1000], train loss: 10.299253
Epoch[660/1000], train loss: 10.070909
Epoch[670/1000], train loss: 10.762365
Epoch[680/1000], train loss: 9.812389
Epoch[690/1000], train loss: 10.934612
Epoch[700/1000], train loss: 9.992323
Epoch[710/1000], train loss: 10.906517
Epoch[720/1000], train loss: 10.164777
Epoch[730/1000], train loss: 10.144019
Epoch[740/1000], train loss: 10.312168
Epoch[750/1000], train loss: 9.795924
Epoch[760/1000], train loss: 9.865622
Epoch[770/1000], train loss: 9.869628
Epoch[780/1000], train loss: 9.313433
Epoch[790/1000], train loss: 11.118232
Epoch[800/1000], train loss: 10.093071
Epoch[810/1000], train loss: 10.388885
Epoch[820/1000], train loss: 18.012215
Epoch[830/1000], train loss: 15.511771
Epoch[840/1000], train loss: 12.743646
Epoch[850/1000], train loss: 12.243173
Epoch[860/1000], train loss: 12.364745
Epoch[870/1000], train loss: 13.584376
Epoch[880/1000], train loss: 11.313145
Epoch[890/1000], train loss: 11.839164
Epoch[900/1000], train loss: 10.938629
Epoch[910/1000], train loss: 13.125319
Epoch[920/1000], train loss: 10.686204
Epoch[930/1000], train loss: 11.793248
Epoch[940/1000], train loss: 11.050853
Epoch[950/1000], train loss: 10.879498
Epoch[960/1000], train loss: 10.616959
Epoch[970/1000], train loss: 10.128956
Epoch[980/1000], train loss: 10.22529
Epoch[990/1000], train loss: 10.886478
Epoch[1000/1000], train loss: 13.364055
