
Using device: cuda
Epoch[10/500], train loss: 18.071211
Epoch[20/500], train loss: 18.191608
Epoch[30/500], train loss: 18.0399
Epoch[40/500], train loss: 18.005875
Epoch[50/500], train loss: 18.123604
Epoch[60/500], train loss: 18.099657
Epoch[70/500], train loss: 18.041168
Epoch[80/500], train loss: 18.081375
Epoch[90/500], train loss: 18.048201
Epoch[100/500], train loss: 18.034163
Epoch[110/500], train loss: 18.00824
Epoch[120/500], train loss: 17.99604
Epoch[130/500], train loss: 18.131813
Epoch[140/500], train loss: 18.069479
Epoch[150/500], train loss: 18.080959
Epoch[160/500], train loss: 18.077925
Epoch[170/500], train loss: 18.053795
Epoch[180/500], train loss: 17.974161
Epoch[190/500], train loss: 18.04213
Epoch[200/500], train loss: 18.007156
Epoch[210/500], train loss: 18.028008
Epoch[220/500], train loss: 18.107281
Epoch[230/500], train loss: 18.063326
Epoch[240/500], train loss: 17.985344
Epoch[250/500], train loss: 18.073996
Epoch[260/500], train loss: 18.044127
Epoch[270/500], train loss: 18.005507
Epoch[280/500], train loss: 18.021461
Epoch[290/500], train loss: inf
Epoch[300/500], train loss: nan
Epoch[310/500], train loss: nan
Epoch[320/500], train loss: nan
Epoch[330/500], train loss: nan
