
Using device: cuda
Epoch[10/500], train loss: 18.104013
Epoch[20/500], train loss: 18.210129
Epoch[30/500], train loss: 18.123163
Epoch[40/500], train loss: 18.131351
Epoch[50/500], train loss: 18.043825
Epoch[60/500], train loss: 17.992828
Epoch[70/500], train loss: 18.073826
Epoch[80/500], train loss: 18.07795
Epoch[90/500], train loss: 18.034744
Epoch[100/500], train loss: 18.016474
Epoch[110/500], train loss: 18.0562
Epoch[120/500], train loss: 18.026329
Epoch[130/500], train loss: 18.062054
Epoch[140/500], train loss: 18.066916
Epoch[150/500], train loss: 18.089918
Epoch[160/500], train loss: 18.070543
Epoch[170/500], train loss: 18.045597
Epoch[180/500], train loss: 18.133539
Epoch[190/500], train loss: 17.991838
Epoch[200/500], train loss: 17.999382
Epoch[210/500], train loss: 18.096466
Epoch[220/500], train loss: 18.027552
Epoch[230/500], train loss: 18.027136
Epoch[240/500], train loss: 22.872433
Epoch[250/500], train loss: nan
Epoch[260/500], train loss: nan
Epoch[270/500], train loss: nan
